Algorithm, no. func evals, time/s, S, sigma_y, K, n
Nelder-Mead,600, 0.02062058448791504, -2.667150896875933e+24, 5.166605297447357e+25, -1386488703162.6284, 105617.92934039852
Powell,3028, 0.06490421295166016, nan, nan, nan, nan
CG,1312, 0.029947280883789062, -16715994.969273813, 167159999.70736307, 0.00033649888131392913, -0.707429696252575
BFGS,535, 0.016825199127197266, -17747985.81662943, 177622241.31246367, 77.22223321416527, -6.708685081416686
Nelder-Mead,600, 0.05017495155334473, -2.667150896875933e+24, 1.0, 3.0, 0.6, 5.166605297447357e+25, -1386488703162.6284, 105617.92934039852
Powell,3028, 0.19899415969848633, nan, 1.0, 3.0, 0.6, nan, nan, nan
CG,1312, 0.30334019660949707, -16715994.969273813, 1.0, 3.0, 0.6, 167159999.70736307, 0.00033649888131392913, -0.707429696252575
BFGS,535, 0.07656216621398926, -17747985.81662943, 1.0, 3.0, 0.6, 177622241.31246367, 77.22223321416527, -6.708685081416686
